sk@skhome01:~/k8s-project$ ssh ubuntu@192.168.0.132 kubectl get pods -A -o wide
NAMESPACE       NAME                                       READY   STATUS             RESTARTS         AGE     IP               NODE          NOMINATED NODE   READINESS GATES
backup          minio-8f48c6f6b-pqk5j                      1/1     Running            0                67m     10.244.100.196   k8s-worker3   <none>           <none>
backup          net-test                                   1/1     Running            12 (9m41s ago)   130m    10.244.126.7     k8s-worker2   <none>           <none>
backup          test-dns                                   1/1     Running            15 (3m10s ago)   153m    10.244.254.129   k8s-worker    <none>           <none>
ingress-nginx   ingress-nginx-admission-create-dqb52       0/1     Completed          0                3h38m   <none>           k8s-worker    <none>           <none>
ingress-nginx   ingress-nginx-controller-7df66f8d-fnlgn    0/1     CrashLoopBackOff   67 (69s ago)     3h38m   10.244.5.9       k8s-worker3   <none>           <none>
kube-system     calico-kube-controllers-564985c589-dxftd   1/1     Running            0                158m    10.244.5.13      k8s-worker3   <none>           <none>
kube-system     calico-node-9lft2                          1/1     Running            0                158m    192.168.0.132    k8s-master1   <none>           <none>
kube-system     calico-node-f2vbr                          1/1     Running            0                158m    192.168.0.136    k8s-worker3   <none>           <none>
kube-system     calico-node-gzhxx                          1/1     Running            0                158m    192.168.0.137    k8s-worker    <none>           <none>
kube-system     calico-node-krttj                          1/1     Running            0                158m    192.168.0.134    k8s-master3   <none>           <none>
kube-system     calico-node-m7wrr                          1/1     Running            0                158m    192.168.0.135    k8s-worker2   <none>           <none>
kube-system     calico-node-ngmsb                          1/1     Running            0                158m    192.168.0.133    k8s-master2   <none>           <none>
kube-system     coredns-74c94d97d9-6fsz2                   1/1     Running            0                160m    10.244.4.105     k8s-worker2   <none>           <none>
kube-system     coredns-74c94d97d9-sz7cq                   1/1     Running            0                160m    10.244.3.170     k8s-worker    <none>           <none>
kube-system     curl-test                                  1/1     Running            14 (5m53s ago)   146m    10.244.100.193   k8s-worker3   <none>           <none>
kube-system     etcd-k8s-master1                           1/1     Running            0                4h31m   192.168.0.132    k8s-master1   <none>           <none>
kube-system     etcd-k8s-master2                           1/1     Running            0                4h30m   192.168.0.133    k8s-master2   <none>           <none>
kube-system     etcd-k8s-master3                           1/1     Running            0                4h29m   192.168.0.134    k8s-master3   <none>           <none>
kube-system     kube-apiserver-k8s-master1                 1/1     Running            3                4h31m   192.168.0.132    k8s-master1   <none>           <none>
kube-system     kube-apiserver-k8s-master2                 1/1     Running            4                4h30m   192.168.0.133    k8s-master2   <none>           <none>
kube-system     kube-apiserver-k8s-master3                 1/1     Running            5                4h29m   192.168.0.134    k8s-master3   <none>           <none>
kube-system     kube-controller-manager-k8s-master1        1/1     Running            2                4h31m   192.168.0.132    k8s-master1   <none>           <none>
kube-system     kube-controller-manager-k8s-master2        1/1     Running            2                4h30m   192.168.0.133    k8s-master2   <none>           <none>
kube-system     kube-controller-manager-k8s-master3        1/1     Running            2                4h29m   192.168.0.134    k8s-master3   <none>           <none>
kube-system     kube-proxy-c8bfd                           1/1     Running            0                148m    192.168.0.134    k8s-master3   <none>           <none>
kube-system     kube-proxy-j648s                           1/1     Running            0                148m    192.168.0.136    k8s-worker3   <none>           <none>
kube-system     kube-proxy-kh4qf                           1/1     Running            0                148m    192.168.0.132    k8s-master1   <none>           <none>
kube-system     kube-proxy-p2vsv                           1/1     Running            0                148m    192.168.0.133    k8s-master2   <none>           <none>
kube-system     kube-proxy-t8tk4                           1/1     Running            0                148m    192.168.0.135    k8s-worker2   <none>           <none>
kube-system     kube-proxy-zlcv2                           1/1     Running            0                148m    192.168.0.137    k8s-worker    <none>           <none>
kube-system     kube-scheduler-k8s-master1                 1/1     Running            3                4h31m   192.168.0.132    k8s-master1   <none>           <none>
kube-system     kube-scheduler-k8s-master2                 1/1     Running            3                4h30m   192.168.0.133    k8s-master2   <none>           <none>
kube-system     kube-scheduler-k8s-master3                 1/1     Running            3                4h29m   192.168.0.134    k8s-master3   <none>           <none>
velero          velero-847d758ff4-ch5wt                    1/1     Running            0                128m    10.244.254.131   k8s-worker    <none>           <none>
